Student_ID,City,Course_Type,Total_Fees,Amount_Paid,Payment_Mode,Payment_Date,Outstanding_Amount
S5036917,,2-Year,160000,52060,Cash,22-12-2023,107940
S5036917,,2-Year,160000,53842,Cash,24-12-2023,54098
S5036917,,2-Year,160000,54304,Cash,22-07-2023,-206
S3502586,Meerut,1-Year,120000,60038,UPI,06-07-2023,59962
S3502586,Meerut,1-Year,120000,52814,Online,10-04-2023,7148
S0110825,Gurugram,2 Yr,140000,72036,UPI,08-19-2023,67964
S0110825,Gurugram,2 Yr,140000,71523,Online,04-06-2023,-3559
S2609280,Kanpur,2 Yr,180000,62792,Cheque,09-11-2023,117208
S2609280,Kanpur,2 Yr,180000,58652,UPI,09-04-2023,58556
S2609280,Kanpur,2 Yr,180000,58432,Cheque,29-11-2023,124
S0086203,Ahmedabad,2-Year,180000,87250,Cheque,02-03-2024,92750
S0086203,Ahmedabad,2-Year,180000,93009,Online,21-10-2023,-259
S2354330,Vadodara,1 Yr,160000,55129,Cheque,17-05-2024,104871
S2354330,Vadodara,1 Yr,160000,54569,UPI,01-15-2024,50302
S2354330,Vadodara,1 Yr,160000,54139,Card,08-06-2024,-3837
S4862229,Hyderabad,Two-Year,140000,47321,Cash,21-07-2025,92679
S4862229,Hyderabad,Two-Year,140000,44878,Cash,30-12-2024,47801
S4862229,Hyderabad,Two-Year,140000,46191,Card,20-01-2025,1610
S4517946,Mumbai,1-Year,160000,73426,Cheque,,86574
S4517946,Mumbai,1-Year,160000,75965,Cash,21-05-2025,10609
S3231319,Jaipur,1year,140000,134448,Online,02-09-2024,5552
S1782762,Gurugram,1-Year,140000,45490,Cash,08-02-2025,94510
S1782762,Gurugram,1-Year,140000,42425,Online,20-09-2025,52085
S1782762,Gurugram,1-Year,140000,42870,UPI,08-10-2025,9215
S3643698,Vadodara,1-Year,160000,73096,UPI,07-03-2024,86904
S3643698,Vadodara,1-Year,160000,72765,Cheque,14-11-2024,14139
S9316440,Vadodara,2-Year,120000,42424,Card,26-02-2024,77576
S9316440,Vadodara,2-Year,120000,39111,Cash,12-11-2023,38465
S9316440,Vadodara,2-Year,120000,34652,Cheque,10-05-2024,3813
S0175937,Bhopal,Two-Year,120000,60920,Cheque,12-04-2023,59080
S0175937,Bhopal,Two-Year,120000,59272,Card,17-10-2023,-192
S3057066,Meerut,2 Yr,180000,53314,UPI,06-10-2024,126686
S3057066,Meerut,2 Yr,180000,65482,UPI,10-11-2024,61204
S3057066,Meerut,2 Yr,180000,53184,UPI,05-27-2024,8020
S3984009,Surat,2-Year,120000,121807,Online,05-04-2023,-1807
S6578507,Ranchi,2-Year,140000,70159,Cash,06-01-2024,69841
S6578507,Ranchi,2-Year,140000,72199,Cash,10-06-2024,-2358
S7056188,Nagpur,1 Yr,160000,50710,Cash,27-01-2025,109290
S7056188,Nagpur,1 Yr,160000,50868,UPI,08-27-2024,58422
S7056188,Nagpur,1 Yr,160000,53999,Online,01-10-2025,4423
S9171771,Bhopal,1-Year,120000,124420,Cash,10-12-2024,-4420
S4873596,Kolkata,2-Year,140000,44395,Cheque,05-06-2025,95605
S4873596,Kolkata,2-Year,140000,51521,UPI,18-01-2025,44084
S4873596,Kolkata,2-Year,140000,47611,Cheque,10-06-2025,-3527
S2178146,Pune,2 Yr,140000,50578,Cheque,21-02-2025,89422
S2178146,Pune,2 Yr,140000,44241,Card,31-03-2025,45181
S2178146,Pune,2 Yr,140000,51426,UPI,27-08-2025,-6245
S2945342,Surat,2-Year,160000,59698,Cheque,11-10-2025,100302
S2945342,Surat,2-Year,160000,51301,Online,06-07-2025,49001
S2945342,Surat,2-Year,160000,58777,Cash,07-19-2025,-9776
S8007576,Bengaluru,1 Yr,140000,75055,Cheque,19-07-2025,64945
S8007576,Bengaluru,1 Yr,140000,70565,UPI,07-02-2026,-5620
S1204462,Bhopal,Two-Year,180000,89926,Cheque,23-01-2024,90074
S1204462,Bhopal,Two-Year,180000,88028,Cash,04-02-2024,2046
S4500619,Surat,1-Year,180000,92713,Online,07-14-2024,87287
S4500619,Surat,1-Year,180000,85062,Card,,2225
S6237827,Chennai,Two-Year,180000,86316,Cheque,09-04-2025,93684
S6237827,Chennai,Two-Year,180000,94009,UPI,12-05-2025,-325
