Lead_ID,Student_ID,Date_of_Enquiry,City,Source,Course_Type,Conversion_Status,Date_of_Joining,Fees_Quoted
L60227680,S5036917,13/04/2023,,Walk-in,2-Year,Converted,24/05/2023,119937.0
L40250165,,2024-03-11,Mumbai,Walk-in,1-Year,Not Converted,,
L25808631,,2025-05-10,Meerut,Referral,2 Yr,Not Converted,,
L93008687,,28/09/2023,Kanpur,Website,2 Yr,Not Converted,,
L59358685,,2023-04-17,Nagpur,Walk-in,2-Year,Not Converted,,
L70220212,S3502586,13/03/2023,Meerut,Referral,1-Year,Converted,22/03/2023,156455.0
L63322966,,12-01-2024,Amritsar,Social Media,1-Year,Not Converted,,
L17139656,S0110825,21/01/2023,Gurugram,Referral,2 Yr,Converted,04-11-2023,121545.0
L87203229,,09-06-2024,Vadodara,School Seminar,1-Year,Not Converted,,
L83639422,S2609280,2023-05-02,Kanpur,Walk-in,2 Yr,Converted,2023-05-12,122026.0
L52583295,,04-11-2024,Rajkot,School Seminar,1year,Not Converted,,
L00167403,S0086203,2023-08-03,Ahmedabad,Referral,2-Year,Converted,2023-09-26,158978.0
L95980765,S2354330,2023-11-27,Vadodara,Social Media,1 Yr,Converted,2024-01-06,135367.0
L26144982,,2024-04-03,Kanpur,Social Media,1-Year,Not Converted,,
L51982661,,2023-03-29,Agra,Social Media,2 Yr,Not Converted,,
L75750309,,01-08-2024,Ahmedabad,Walk-in,1-Year,Not Converted,,
L88308904,,10/04/2023,Pune,School Seminar,2-Year,Not Converted,,
L07714528,,21/05/2025,Amritsar,Social Media,1-Year,Not Converted,,
L42572396,S4862229,10-25-2024,Hyderabad,Referral,Two-Year,Converted,11/12/2024,138812.0
L45123522,,2023-05-11,Bhopal,Referral,2 Yr,Not Converted,,
L06298026,,2024-10-23,Kolkata,Referral,2-Year,Not Converted,,
L21954781,,05/11/2023,Mumbai,Social Media,1-Year,Not Converted,,
L04447690,S4517946,02-08-2025,Mumbai,Social Media,1-Year,Converted,28/02/2025,137197.0
L43821442,,10/12/2023,Pune,Social Media,2 Yr,Not Converted,,
L29485098,,05-06-2024,Srinagar,Social Media,Two-Year,Not Converted,,
L99814240,S3231319,2024-02-18,Jaipur,Social Media,1year,Converted,2024-04-06,175900.0
L39274499,S1782762,16/03/2025,Gurugram,Social Media,1-Year,Converted,20/05/2025,160180.0
L57129557,S3643698,2024-01-21,Vadodara,Walk-in,1-Year,Converted,2024-04-07,161679.0
L05581901,,11/07/2023,Indore,Social Media,1-Year,Not Converted,,
L56218256,S9316440,04/10/2023,Vadodara,Agent,2-Year,Converted,2023-10-27,160038.0
L45592723,S0175937,2023-06-10,Bhopal,Social Media,Two-Year,Converted,2023-06-12,135650.0
L62370499,S3057066,04/04/2024,Meerut,Social Media,2 Yr,Converted,2024-04-19,117425.0
L02298831,,2023-11-10,Jaipur,Referral,1-Year,Not Converted,,
L87696082,S3984009,2023-01-22,Surat,Social Media,2-Year,Converted,2023-02-27,184114.0
L69111526,S6578507,10/09/2023,Ranchi,School Seminar,2-Year,Converted,12-07-2023,140301.0
L72624980,,2025-01-17,Gurugram,Social Media,2-Year,Not Converted,,
L42076275,,06/05/2025,Ranchi,Website,Two-Year,Not Converted,,
L40089585,S7056188,2024-07-14,Nagpur,Website,1 Yr,Converted,10/08/2024,115560.0
L11387882,,04-19-2024,Rajkot,Referral,1year,Not Converted,,
L21784619,,02-28-2023,Thane,Referral,1-Year,Not Converted,,
L89880739,S9171771,2024-05-25,Bhopal,Walk-in,1-Year,Converted,26/07/2024,120099.0
L88827188,S4873596,12/11/2024,Kolkata,Referral,2-Year,Converted,12-26-2024,158041.0
L28437201,,04-20-2024,Ghaziabad,Walk-in,1-Year,Not Converted,,
L38926395,S2178146,11-30-2024,Pune,Social Media,2 Yr,Converted,30/01/2025,140398.0
L91919214,S2945342,2025-02-21,Surat,Social Media,2-Year,Converted,05/05/2025,121947.0
L73653527,,07-09-2023,Srinagar,Referral,2-Year,Not Converted,,
L09577630,,17/11/2024,Kolkata,Referral,1-Year,Not Converted,,
L63387334,,2024-07-16,Bengaluru,Website,1-Year,Not Converted,,
L42149696,S8007576,05-25-2025,Bengaluru,Social Media,1 Yr,Converted,2025-07-19,142649.0
L35024564,,2024-07-20,Gurugram,School Seminar,1 Yr,Not Converted,,
L42497105,S1204462,2023-09-01,Bhopal,Social Media,Two-Year,Converted,09/10/2023,160651.0
L63876210,,04-11-2025,Nagpur,Referral,One-Year,Not Converted,,
L24804616,,05-19-2024,Varanasi,Social Media,1year,Not Converted,,
L42607714,,11/05/2023,Varanasi,Referral,2-Year,Not Converted,,
L19502848,S4500619,2024-04-29,Surat,Social Media,1-Year,Converted,18/05/2024,119112.0
L69598675,,29/03/2025,Nashik,Referral,1-Year,Not Converted,,
L85874226,,2024-10-08,Meerut,School Seminar,2 Yr,Not Converted,,
L75620223,,21/01/2023,Agra,Referral,2year,Not Converted,,
L51267045,S6237827,2025-04-20,Chennai,Referral,Two-Year,Converted,07-07-2025,139565.0
L42495687,,2023-06-16,Ranchi,School Seminar,1 Yr,Not Converted,,
L30378947,S9415673,01/10/2023,Patna,Walk-in,1-Year,Converted,2023-11-13,183746.0
L56224036,,23/01/2024,Jaipur,Referral,2-Year,Not Converted,,
L41416035,,2024-08-23,Indore,Social Media,2-Year,Not Converted,,
L06140323,S3108959,12/11/2023,Mumbai,Website,1 Yr,Converted,01-17-2024,163775.0
L73782005,S1168069,01-14-2023,Hyderabad,Walk-in,2-Year,Converted,04-02-2023,135841.0
L93676791,S9410950,2023-08-30,Meerut,Social Media,2 Yr,Converted,10/11/2023,156804.0
L01165267,,2025-02-15,Delhi,Social Media,1 Yr,Not Converted,,
L16718910,S6716948,12/12/2023,Nagpur,School Seminar,2-Year,Converted,2024-02-06,159946.0
L36937066,,18/07/2024,Patna,Social Media,2-Year,Not Converted,,
L17861973,,2025-06-16,Mumbai,Agent,1-Year,Not Converted,,
L43538819,S7052825,06/12/2023,,Social Media,1-Year,Converted,2024-02-23,141657.0
L68747928,,04-02-2023,Kolkata,School Seminar,2-Year,Not Converted,,
L54472880,,2024-01-02,Lucknow,Referral,2-Year,Not Converted,,
L82463081,,30/03/2024,Lucknow,Referral,2-Year,Not Converted,,
L27387209,S9034947,2024-03-03,Ahmedabad,Website,1-Year,Converted,04-09-2024,161240.0
L07476647,S3500806,2024-05-23,Delhi,Referral,1year,Converted,25/06/2024,115127.0
L02635454,,14/02/2025,Faridabad,Referral,2year,Not Converted,,
L73722111,,02-04-2023,Gurugram,Social Media,1 Yr,Not Converted,,
L57124795,S2463655,07-25-2023,Kolkata,Social Media,2-Year,Converted,08-22-2023,121867.0
L21121052,S3934275,03-22-2023,Agra,Social Media,1-Year,Converted,2023-05-08,117205.0
L95618485,S2012000,07-15-2024,Faridabad,Walk-in,1-Year,Converted,10-08-2024,139379.0
L44109484,,21/05/2025,Srinagar,Social Media,1-Year,Not Converted,,
L06015391,S5759401,23/01/2024,Indore,Social Media,1 Yr,Converted,2024-01-27,141277.0
L76725448,,01-02-2023,Lucknow,Referral,1-Year,Not Converted,,
L93667922,S5796545,25/01/2024,Surat,Walk-in,2-Year,Converted,02-03-2024,184708.0
L61100452,,07-19-2024,Faridabad,Walk-in,2 Yr,Not Converted,,
L27746976,,2023-04-16,Varanasi,Social Media,1-Year,Not Converted,,
L69456980,,2025-02-10,Pune,Social Media,2-Year,Not Converted,,
L13752166,S0194286,04-01-2025,Kanpur,Website,1-Year,Converted,05-09-2025,183310.0
L95400432,,04-21-2024,Ranchi,Social Media,Two-Year,Not Converted,,
L09859962,S7430660,03/12/2024,Rajkot,Website,1-Year,Converted,2025-01-14,180016.0
L07469156,S8387183,06/02/2024,,Website,1-Year,Converted,2024-03-08,161539.0
L40336836,S8860583,30/12/2024,Meerut,School Seminar,1-Year,Converted,03-04-2025,161452.0
L29854339,,2024-07-09,Nagpur,Social Media,2-Year,Not Converted,,
L45965413,,06-11-2023,Ghaziabad,School Seminar,1-Year,Not Converted,,
L76725946,,07-21-2023,Agra,School Seminar,2-Year,Not Converted,,
L19621550,,27/09/2023,Bengaluru,Walk-in,1-Year,Not Converted,,
L99418475,S9042488,05-12-2025,Patna,Social Media,Two-Year,Converted,2025-06-07,117441.0
L28925395,,2025-03-26,Nashik,Social Media,1-Year,Not Converted,,
L88274958,,09-28-2023,Pune,Social Media,2-Year,Not Converted,,
L22594153,,31/03/2024,Rajkot,Referral,1-Year,Not Converted,,
L55431652,,06/04/2024,Ghaziabad,Walk-in,1 Yr,Not Converted,,
L70778368,,12-27-2024,Gurugram,Referral,2 Yr,Not Converted,,
L94055884,,09/09/2023,Mumbai,Referral,One-Year,Not Converted,,
L54746149,,2024-12-02,Jaipur,Referral,One-Year,Not Converted,,
L36688833,S9873032,2023-10-23,Ghaziabad,Walk-in,2-Year,Converted,04/11/2023,139501.0
L77800699,,2024-12-25,Lucknow,Website,1 Yr,Not Converted,,
L74068469,,12-20-2024,Faridabad,Social Media,2-Year,Not Converted,,
L07231557,S9429451,01-18-2025,Meerut,Referral,2 Yr,Converted,03-12-2025,120794.0
L10862914,S5772581,2023-12-04,Hyderabad,Social Media,One-Year,Converted,13/02/2024,139250.0
L22089614,S6801298,2025-05-28,Bhopal,Walk-in,1-Year,Converted,2025-07-27,163385.0
L35642813,,02-22-2023,Bhopal,Walk-in,2 Yr,Not Converted,,
L42559296,,03-02-2025,Kanpur,Website,2-Year,Not Converted,,
L25670649,S0604458,05/08/2023,Amritsar,Social Media,1 Yr,Converted,20/08/2023,122123.0
L27636667,,02-02-2025,Varanasi,Agent,1-Year,Not Converted,,
L68696345,,07-07-2023,Nashik,Social Media,2-Year,Not Converted,,
L70271159,S1400822,15/01/2024,Faridabad,Walk-in,1-Year,Converted,25/01/2024,181295.0
L59828487,S0257787,05-07-2024,Thane,Social Media,One-Year,Converted,08-03-2024,182864.0
L31919879,,10/02/2023,Amritsar,Website,1-Year,Not Converted,,
L98370546,,06/06/2023,Nashik,Referral,2-Year,Not Converted,,
L65891208,S9169681,01-15-2023,Faridabad,Walk-in,2year,Converted,18/02/2023,120543.0
L59208934,,03-23-2025,Srinagar,School Seminar,2-Year,Not Converted,,
L19340814,S0268070,03-06-2023,Jaipur,Social Media,Two-Year,Converted,2023-03-17,137560.0
L67947140,,05-06-2025,Rajkot,Social Media,2year,Not Converted,,
L44903498,S5373310,2025-04-18,Kolkata,Website,1 Yr,Converted,2025-05-18,119266.0
L06593311,S5354295,04/06/2024,Surat,Social Media,1 Yr,Converted,08-25-2024,140684.0
L84665072,,2023-12-10,Surat,Social Media,2-Year,Not Converted,,
L15072283,S8642160,09/05/2023,,Referral,2 Yr,Converted,2023-06-25,178848.0
L19081121,,09/10/2024,Srinagar,Walk-in,1 Yr,Not Converted,,
L60072310,,04-16-2024,Nashik,Social Media,2 Yr,Not Converted,,
L75747515,,04/03/2023,Faridabad,Social Media,1-Year,Not Converted,,
L90785490,S1554732,05-19-2023,Vadodara,Social Media,2-Year,Converted,2023-05-28,117758.0
L44649006,,05-13-2024,Gurugram,Referral,1-Year,Not Converted,,
L02653954,S7264276,15/08/2024,Bhopal,Website,2 Yr,Converted,09-28-2024,163119.0
L60786772,S9033743,01-27-2024,Kanpur,Agent,1-Year,Converted,03-18-2024,123229.0
L42344046,,11-05-2024,Pune,Walk-in,2-Year,Not Converted,,
L31908007,S7176150,23/02/2024,Rajkot,Social Media,2-Year,Converted,05/03/2024,160586.0
L85553136,,2023-10-16,Faridabad,Website,One-Year,Not Converted,,
L78796352,,14/01/2024,Kanpur,Referral,2year,Not Converted,,
L62183758,S9149382,11/02/2025,Delhi,Social Media,2-Year,Converted,04/05/2025,121458.0
L89866098,,05-04-2024,Varanasi,Website,1 Yr,Not Converted,,
L21733085,S9009918,2023-08-19,Delhi,School Seminar,1 Yr,Converted,09-17-2023,181125.0
L41607243,,02-10-2023,Nashik,Walk-in,2 Yr,Not Converted,,
L37750016,,2023-01-28,,Walk-in,2-Year,Not Converted,,
L62644271,,2023-05-15,Indore,Social Media,2 Yr,Not Converted,,
L42646035,S4056009,2023-07-20,Ahmedabad,Social Media,1-Year,Converted,29/08/2023,177923.0
L03212307,,04-19-2025,Nashik,Walk-in,1 Yr,Not Converted,,
L13758808,S8565137,02-18-2025,Varanasi,Social Media,2-Year,Converted,11/03/2025,179171.0
L00985574,,02/02/2023,Patna,Referral,Two-Year,Not Converted,,
L10386890,,2023-02-17,Gurugram,School Seminar,2-Year,Not Converted,,
L82553333,,17/05/2024,Mumbai,School Seminar,1year,Not Converted,,
L15159378,,11/02/2024,Bhopal,Referral,1 Yr,Not Converted,,
L82116761,,27/07/2024,Faridabad,School Seminar,1-Year,Not Converted,,
L74774956,S3155379,28/12/2024,Srinagar,School Seminar,1 Yr,Converted,03/01/2025,157750.0
L68610432,S6760253,03-15-2025,Pune,Walk-in,2-Year,Converted,03-21-2025,122931.0
L05340808,,09/04/2023,Rajkot,Social Media,1-Year,Not Converted,,
L86545784,S8129960,2024-11-14,Vadodara,Social Media,1 Yr,Converted,11-18-2024,120444.0
L86341018,,2025-05-21,Nagpur,Social Media,1 Yr,Not Converted,,
L37512445,,2024-12-26,Chennai,Social Media,1-Year,Not Converted,,
L13243576,,2024-06-30,Srinagar,Social Media,1year,Not Converted,,
L00627698,,08/01/2025,Chennai,Social Media,2-Year,Not Converted,,
L35139635,,04/09/2024,Lucknow,Referral,2-Year,Not Converted,,
L93378687,,2024-04-06,Jaipur,Website,Two-Year,Not Converted,,
L65643312,,10-04-2024,Srinagar,Social Media,1 Yr,Not Converted,,
L94210817,,02-07-2025,Agra,Walk-in,2year,Not Converted,,
L88037131,S9259177,2023-01-05,Rajkot,Walk-in,1 Yr,Converted,2023-03-20,160575.0
L87814462,,2023-08-06,Ahmedabad,Social Media,1year,Not Converted,,
L42745384,,17/05/2024,Ludhiana,Website,Two-Year,Not Converted,,
L83994235,,05/02/2025,Vadodara,Walk-in,1 Yr,Not Converted,,
L98812685,S1588390,02/02/2024,Varanasi,Referral,2-Year,Converted,2024-04-29,181405.0
L18827291,S4696776,05-20-2025,Amritsar,School Seminar,2year,Converted,2025-07-10,138534.0
L49243005,,03-05-2025,Delhi,Social Media,1year,Not Converted,,
L29309867,,2024-01-28,Agra,Walk-in,2 Yr,Not Converted,,
L12861740,S4035789,26/07/2023,Mumbai,Social Media,2 Yr,Converted,09-14-2023,182394.0
L02857512,,2023-01-15,Patna,School Seminar,1-Year,Not Converted,,
L30474195,,05-07-2025,Jaipur,Referral,1-Year,Not Converted,,
L05214624,,2024-07-07,Lucknow,Walk-in,2-Year,Not Converted,,
L60905595,,06-10-2025,Surat,Social Media,2 Yr,Not Converted,,
