Order ID,Product ID,Location ID,Sales Person ID,Customer ID,Order Date,Quantity,Price
OID10008,PID2076,A157,EMP1015,C1121,13-02-2020,2,1522
OID10013,PID2087,A160,EMP1020,C1461,28-01-2020,1,1022
OID10015,PID2037,A103,EMP1010,C1510,14-03-2020,2,880
OID10016,PID2097,A130,EMP1023,C1133,26-07-2020,1,1052
OID10018,PID2005,A158,EMP1037,C1240,28-03-2020,1,684
OID10020,PID2036,A127,EMP1013,C1155,18-10-2020,2,1582
OID10030,PID2028,A138,EMP1017,C1495,01-01-2020,1,2283
OID10039,PID2024,A134,EMP1023,C1448,13-12-2020,1,356
OID10041,PID2010,A146,EMP1022,C1562,04-03-2020,1,1812
OID10047,PID2010,A143,EMP1038,C1084,04-01-2020,2,1812
OID10051,PID2029,A167,EMP1003,C1274,10-07-2020,3,1848
OID10056,PID2040,A118,EMP1007,C1160,26-08-2020,4,1889
OID10057,PID2028,A139,EMP1017,C1732,14-06-2020,3,2283
OID10058,PID2016,A107,EMP1027,C1526,22-11-2020,3,1351
OID10059,PID2016,A173,EMP1019,C1767,13-08-2020,1,1351
OID10062,PID2041,A142,EMP1016,C1641,05-11-2020,1,1380
OID10067,PID2018,A107,EMP1027,C1358,11-04-2020,3,1972
OID10073,PID2079,A103,EMP1026,C1402,01-09-2020,3,1725
OID10075,PID2029,A128,EMP1029,C1100,15-02-2020,2,1848
OID10076,PID2092,A122,EMP1031,C1470,27-03-2020,1,1639
OID10078,PID2063,A170,EMP1042,C1222,14-01-2020,3,1708
OID10082,PID2070,A111,EMP1040,C1519,21-02-2020,1,1671
OID10084,PID2084,A147,EMP1005,C1241,07-08-2020,3,1783
OID10088,PID2043,A124,EMP1035,C1579,03-05-2020,1,545
OID10091,PID2051,A115,EMP1017,C1707,30-01-2020,1,1077
OID10097,PID2024,A167,EMP1007,C1396,23-06-2020,4,356
OID10099,PID2006,A158,EMP1032,C1538,26-02-2020,3,1826
OID10107,PID2054,A146,EMP1005,C1052,08-05-2020,1,127
OID10110,PID2066,A107,EMP1013,C1342,19-08-2020,4,2091
OID10111,PID2051,A141,EMP1021,C1233,17-07-2020,3,1077
OID10112,PID2039,A151,EMP1034,C1171,24-02-2020,3,817
OID10115,PID2046,A161,EMP1008,C1364,07-01-2020,1,2410
OID10116,PID2076,A101,EMP1029,C1415,24-07-2020,1,1522
OID10119,PID2001,A167,EMP1010,C1339,29-01-2020,1,951
OID10124,PID2012,A150,EMP1019,C1508,06-07-2020,1,1353
OID10126,PID2054,A138,EMP1030,C1337,27-09-2020,1,127
OID10127,PID2066,A134,EMP1027,C1612,20-07-2020,2,2091
OID10135,PID2015,A118,EMP1041,C1149,24-06-2020,1,637
OID10137,PID2093,A172,EMP1006,C1704,18-03-2020,1,112
OID10144,PID2020,A136,EMP1042,C1770,17-11-2020,3,2005
OID10152,PID2027,A146,EMP1043,C1314,01-05-2020,4,2497
OID10156,PID2068,A169,EMP1006,C1529,18-08-2020,3,1500
OID10157,PID2025,A148,EMP1043,C1243,05-07-2020,2,667
OID10159,PID2003,A137,EMP1036,C1086,19-04-2020,1,1783
OID10167,PID2004,A144,EMP1043,C1286,27-10-2020,1,1278
OID10172,PID2076,A101,EMP1005,C1507,06-03-2020,1,1522
OID10176,PID2008,A124,EMP1032,C1369,11-09-2020,3,315
OID10177,PID2064,A109,EMP1027,C1057,14-04-2020,1,1414
OID10182,PID2062,A161,EMP1026,C1657,28-02-2020,3,2464
OID10183,PID2035,A106,EMP1014,C1444,18-11-2020,2,458
OID10184,PID2015,A114,EMP1025,C1480,30-10-2020,1,637
OID10186,PID2022,A133,EMP1025,C1064,19-06-2020,2,561
OID10187,PID2100,A126,EMP1002,C1757,31-05-2020,3,799
OID10195,PID2085,A156,EMP1025,C1694,06-12-2020,4,1862
OID10197,PID2067,A134,EMP1002,C1717,06-09-2020,1,1119
OID10198,PID2072,A136,EMP1006,C1584,29-04-2020,1,1887
OID10200,PID2034,A124,EMP1012,C1098,28-06-2020,1,871
OID10204,PID2018,A112,EMP1030,C1214,10-12-2020,1,1972
OID10211,PID2023,A155,EMP1005,C1277,24-02-2020,1,818
OID10214,PID2068,A149,EMP1044,C1274,26-01-2020,1,1500
OID10217,PID2030,A102,EMP1021,C1174,26-03-2020,1,1899
OID10220,PID2053,A158,EMP1033,C1150,04-09-2020,1,596
OID10225,PID2048,A118,EMP1043,C1776,20-04-2020,2,502
OID10227,PID2069,A103,EMP1024,C1768,16-02-2020,2,378
OID10228,PID2075,A135,EMP1001,C1314,19-07-2020,2,400
OID10234,PID2096,A168,EMP1022,C1490,12-11-2020,1,1587
OID10237,PID2080,A140,EMP1017,C1578,11-12-2020,1,2353
OID10239,PID2046,A146,EMP1030,C1028,14-05-2020,1,2410
OID10240,PID2012,A130,EMP1010,C1670,22-12-2020,1,1353
OID10244,PID2072,A168,EMP1002,C1702,24-12-2020,1,1887
OID10250,PID2075,A135,EMP1003,C1274,18-07-2020,2,400
